Datum,Name Haltestelle,Kundengewichtete Ankunftspünktlichkeit,Kundengewichtete Ankunftspünktlichkeit Fernverkehr,Kundengewichtete Ankunftspünktlichkeit Regionalverkehr,Kundengewichtete Anschlüsse,key
2018-12-25,Aarau,99.2762482293,99.0400294132,100,98.9642239577,2018-12-25 00:00:00-AA
2018-12-24,Aarau,96.3067936561,96.7256229468,95.4112453329,97.574638928,2018-12-24 00:00:00-AA
2018-12-23,Aarau,97.4701398732,97.1948006282,98.3297558358,99.9126581448,2018-12-23 00:00:00-AA
2018-12-22,Aarau,96.588071341,96.4952585739,96.8729990979,99.1782159586,2018-12-22 00:00:00-AA
2018-12-21,Aarau,86.5206994457,84.8246220579,90.1244739376,94.451691612,2018-12-21 00:00:00-AA
2018-12-20,Aarau,98.0079337898,97.810065711,98.4244969203,98.0943816709,2018-12-20 00:00:00-AA
2018-12-19,Aarau,87.0692062883,84.9117455227,91.654580944,96.6648602321,2018-12-19 00:00:00-AA
2018-12-18,Aarau,89.6359476624,86.4728465587,96.3586671969,93.8589803049,2018-12-18 00:00:00-AA
2018-12-17,Aarau,92.4046545137,91.0071216574,95.4027968103,96.990080564,2018-12-17 00:00:00-AA
2018-12-16,Aarau,92.6684875632,92.1884667612,94.1500552985,96.5649407392,2018-12-16 00:00:00-AA
2018-12-15,Aarau,98.1942195924,97.8064748336,99.4032620091,98.7994282246,2018-12-15 00:00:00-AA
2018-12-14,Aarau,89.6304637075,86.3885053094,96.4312644909,96.2005051334,2018-12-14 00:00:00-AA
2018-12-13,Aarau,92.2703346583,90.4489081087,96.1415165915,97.4656612828,2018-12-13 00:00:00-AA
2018-12-12,Aarau,88.6020099564,87.8635766076,90.1714445512,93.7434817062,2018-12-12 00:00:00-AA
2018-12-11,Aarau,92.360012571,91.2136860473,94.847825159,95.7324614371,2018-12-11 00:00:00-AA
2018-12-10,Aarau,88.4331179368,86.4847219809,92.6470695529,94.3533093422,2018-12-10 00:00:00-AA
2018-12-09,Aarau,93.5952637024,92.6269439646,96.5937484664,97.0434443814,2018-12-09 00:00:00-AA
2018-12-08,Aarau,96.9927895205,97.2903090062,95.8633807856,99.2850463208,2018-12-08 00:00:00-AA
2018-12-07,Aarau,93.9817654502,92.6597523802,97.1299885079,98.9063771654,2018-12-07 00:00:00-AA
2018-12-06,Aarau,87.6905196664,87.1769596558,88.8828334357,98.1307391137,2018-12-06 00:00:00-AA
2018-12-05,Aarau,89.7027084303,86.7891174968,96.6438172969,97.8303042409,2018-12-05 00:00:00-AA
